,index,step,tempk,radg,etot,velet, qscore,rmsd_C,local,go,repul,stack,hbond,elect,afmcc,afmfit,stage,frame,kapa,afmccpow,etotPower,pred
2060411,2215626.0,2181500.0,298.0,36.87,-6169.55,725.83,0.92,12.72,566.42,-517.87,4.48,-3495.88,-3302.52,281.9,0.9794636,292.94,0.0,21816.0,30.0,0.8648048289874544,-5335.456632679549,4.589281
2060218,2215433.0,2162200.0,298.0,36.54,-6154.19,726.72,0.911,12.46,565.36,-514.16,2.85,-3502.33,-3295.5,282.92,0.9785698,305.69,0.0,21623.0,30.0,0.8592957443702306,-5288.269277045829,4.7901726
2055572,2210695.0,1688400.0,298.0,36.95,-6191.31,728.29,0.924,13.02,547.23,-509.51,3.12,-3503.52,-3307.37,275.61,0.9788173,302.16,0.0,16885.0,30.0,0.8608182315169408,-5329.592524973151,4.8124914
2046914,2201895.0,808400.0,298.0,36.34,-6184.09,743.36,0.915,13.35,536.37,-509.01,2.45,-3505.04,-3306.26,284.32,0.9781204,312.1,0.0,8085.0,30.0,0.8565371765361574,-5296.9029880454855,4.873708
2048380,2203389.0,957800.0,298.0,37.11,-6181.39,707.01,0.922,13.31,546.37,-510.67,1.6,-3504.22,-3306.64,279.29,0.9781338,311.91,0.0,9579.0,30.0,0.8566193202980893,-5295.098100297407,4.8904743
2060299,2215514.0,2170300.0,298.0,37.17,-6183.13,765.63,0.911,12.65,546.21,-507.08,2.48,-3500.39,-3304.16,274.1,0.9786364,304.74,0.0,21704.0,30.0,0.8597052046650079,-5315.66904212035,4.93229
2058193,2213365.0,1955400.0,298.0,36.83,-6168.01,692.51,0.908,12.58,554.8,-508.04,2.28,-3498.62,-3306.68,274.24,0.9780544,313.04,0.0,19555.0,30.0,0.8561326863739014,-5280.634970881088,4.9550924
2058199,2213371.0,1956000.0,298.0,36.92,-6170.77,704.62,0.919,12.31,555.08,-509.58,1.77,-3497.03,-3308.8,276.83,0.9782694,309.97,0.0,19561.0,30.0,0.857450946095779,-5291.1325746394505,4.9599886
2047695,2202697.0,888600.0,298.0,37.38,-6163.36,724.63,0.914,13.04,570.88,-512.55,1.65,-3495.9,-3309.69,272.67,0.9783658,308.6,0.0,8887.0,30.0,0.8580425816687136,-5288.425326153682,4.963807
2060416,2215631.0,2182000.0,298.0,36.97,-6185.33,712.31,0.903,12.72,551.7,-508.59,2.27,-3488.14,-3303.7,275.62,0.9800531,284.53,0.0,21821.0,30.0,0.8684548543873074,-5371.679864487444,4.9662495
